,Data,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,Draven,DrMundo,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,Kaisa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,RekSai,Rell,Renekton,Rengar,Riven,Rumble,Ryze,Samira,Sejuani,Senna,Seraphine,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viego,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
0,Wins,0,9,0,0,0,0,9,0,0,20,1,0,0,6,0,0,0,3,0,10,0,17,0,0,27,0,0,0,0,0,48,24,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,19,17,0,2,0,0,0,10,0,16,0,0,0,1,69,0,24,0,11,0,0,0,0,2,0,0,4,0,21,0,0,0,0,2,0,8,0,0,45,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,32,0,0,4,0,9,0,2,0,0,14,0,0,0,3,2,13,0,0,8,34,2,0,0,0,2,0,15,52,0,0,0,44,4,0,2,6
1,Total Games,0,49,0,0,0,7,15,0,0,20,1,0,0,11,0,0,0,4,0,12,0,23,0,0,36,0,0,0,0,0,68,79,12,3,9,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,37,82,0,2,0,0,0,10,0,16,0,0,0,1,101,0,57,0,35,0,0,0,11,2,11,0,4,0,21,0,1,0,0,10,0,13,0,3,46,0,0,0,0,0,0,0,2,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,98,34,0,13,49,6,9,0,2,0,0,23,0,0,0,11,2,42,2,0,16,71,14,0,0,0,10,0,95,73,0,0,0,74,4,0,28,6
