,Data,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,Draven,DrMundo,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,Kaisa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,RekSai,Rell,Renekton,Rengar,Riven,Rumble,Ryze,Samira,Sejuani,Senna,Seraphine,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viego,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
0,Wins,0,40,6,0,0,13,0,0,0,0,0,0,0,0,0,6,0,1,2,16,0,6,0,0,17,0,0,0,0,0,19,19,0,36,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,17,23,0,0,6,0,0,65,13,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,7,0,0,20,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,36,0,0,13,5,18,0,0,0,8,0,10,15,0,0,0,21,0,0,20,0
1,Total Games,0,63,15,0,0,13,8,0,0,0,5,0,0,5,0,6,0,2,2,30,0,19,5,0,19,0,0,0,0,0,25,48,0,36,0,15,0,0,14,0,1,0,0,0,0,0,4,0,0,0,0,0,15,38,0,0,0,0,0,0,0,44,23,0,0,6,0,0,80,13,36,0,0,0,0,0,6,0,0,0,0,0,21,0,0,38,0,7,0,0,24,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,49,14,0,0,4,0,0,0,13,0,0,6,0,0,0,0,0,90,0,0,13,11,23,0,0,0,18,0,29,22,0,0,0,50,13,0,35,0
