,Data,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,Draven,DrMundo,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,Kaisa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,RekSai,Rell,Renekton,Rengar,Riven,Rumble,Ryze,Samira,Sejuani,Senna,Seraphine,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viego,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
0,Wins,0,10,9,0,0,3,2,0,0,0,0,0,0,13,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,5,0,0,0,0,3,0,0,0,10,0,0,6,1,5,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,6,0,0,0,23,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,38,15,11,0,0,0,22,0,0,0,0,1,0,0,0,0,0,2,0,0,4,5,0,0,0,0,9,0,23,9,0,0,0,11,0,0,0,0
1,Total Games,0,22,36,0,0,3,19,0,0,0,0,0,0,17,0,1,0,0,0,6,0,47,0,16,0,0,0,0,0,0,0,38,7,0,0,0,0,0,1,0,13,0,0,0,0,3,0,0,0,10,0,0,19,20,5,0,0,0,0,0,0,4,10,0,0,0,22,0,20,17,9,0,0,0,23,0,0,0,0,0,9,0,4,0,0,0,0,11,0,0,33,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,67,15,11,0,9,0,22,0,0,0,13,2,0,0,0,0,0,3,0,0,4,21,0,0,0,0,31,0,34,23,0,0,0,21,6,0,2,0
