,Data,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,Draven,DrMundo,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,Kaisa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,RekSai,Rell,Renekton,Rengar,Riven,Rumble,Ryze,Samira,Sejuani,Senna,Seraphine,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viego,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
0,Wins,3,5,40,0,0,5,23,0,0,0,12,0,0,1,0,0,0,0,2,6,0,22,0,0,12,0,0,7,0,0,35,42,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,22,5,0,0,0,0,0,0,1,0,0,0,5,12,0,21,7,7,0,0,0,0,0,13,0,7,0,28,0,0,0,0,4,0,3,0,0,44,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,44,0,0,0,3,0,0,18,0,0,0,1,0,27,1,0,0,10,17,0,0,0,25,0,22,42,0,0,0,56,2,0,2,0
1,Total Games,3,5,49,0,0,11,63,0,0,0,12,0,0,2,0,0,0,0,2,6,0,32,0,0,22,0,0,7,0,0,56,91,12,0,0,0,26,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,26,5,0,0,0,0,0,0,4,2,0,0,5,13,0,21,7,49,0,0,0,0,0,19,0,7,0,33,0,5,1,0,14,0,3,0,0,47,0,0,0,0,0,13,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,51,0,0,0,3,0,0,41,0,0,0,1,0,37,24,0,0,35,29,0,0,0,25,0,128,59,7,0,0,128,12,44,14,0
