Data,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,Draven,DrMundo,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,Kaisa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,RekSai,Rell,Renekton,Rengar,Riven,Rumble,Ryze,Samira,Sejuani,Senna,Seraphine,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viego,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Wins,0,25,37,0,0,5,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,16,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,3,36,0,0,0,0,0,0,0,0,0,0,0,14,3,0,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,14,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,29,42,0,0,19,0,0,0,6,0,0,29,0,0,0,0,0,35,19,0,3,0,19,0,0,0,3,0,0,21,0,0,0,2,20,7,15,0
Total Games,0,35,71,0,0,45,11,0,0,0,15,0,0,2,0,0,2,17,1,23,0,14,3,0,21,0,0,8,0,0,7,26,5,3,0,0,3,0,0,0,9,0,0,0,0,9,7,0,0,0,4,0,49,62,0,0,0,0,0,0,0,24,3,0,0,15,7,0,16,4,56,0,0,0,21,6,0,0,0,0,1,0,3,0,0,2,0,4,0,1,25,0,0,0,0,0,0,0,0,0,6,0,0,0,7,12,12,1,0,0,0,0,0,0,0,0,43,44,0,0,61,0,1,0,26,0,0,41,0,0,0,0,0,35,19,0,12,0,35,0,0,0,41,0,18,48,0,0,0,62,20,7,15,0
